latitude,longitude,province
37.4167,32.9705,Karaman
37.4152,32.9593,Karaman
37.4341,32.8974,Konya
37.4534,32.9046,Konya
37.4718,32.9065,Konya
37.4745,32.8597,Konya
37.4729,32.8485,Konya
37.488,32.8913,Konya
36.8436,28.7594,Muğla
37.5435,32.96,Konya
37.5153,32.7582,Konya
37.5655,32.9137,Konya
37.6618,33.4174,Konya
37.5691,30.5807,Burdur
37.5762,30.5724,Burdur
38.503,37.5343,Malatya
38.2017,33.1217,Konya
37.9456,30.6788,Isparta
37.9437,30.666999999999998,Isparta
37.9326,30.5363,Isparta
38.3116,33.0497,Konya
38.31,33.0382,Konya
38.4817,31.3354,Konya
38.7414,32.6283,Konya
38.7398,32.6169,Konya
41.5281,35.6258,Samsun
41.5263,35.6089,Samsun
41.5499,34.7044,Sinop
41.5483,34.69,Sinop
41.8784,35.0107,Sinop
41.9423,34.7659,Sinop
41.8674,34.5388,Sinop
38.7866,39.8635,Elâzığ
38.6541,39.777,Elâzığ
38.6762,39.3168,Elâzığ
38.608000000000004,39.1673,Elâzığ
37.717,39.4444,Şanlıurfa
37.6933,39.4128,Şanlıurfa
36.8376,39.2998,Şanlıurfa
37.5114,32.7258,Konya
36.7294,36.2155,Hatay
37.8139,41.4927,Batman
37.8191,41.4858,Batman
37.7513,40.9566,Diyarbakır
37.8602,40.6109,Diyarbakır
37.8709,40.6077,Diyarbakır
40.7965,39.963,
40.8041,39.972,
41.9206,33.7074,Kastamonu
41.3759,35.1324,Sinop
41.3714,35.1524,Sinop
41.3729,35.1251,Sinop
41.3683,35.1463,Sinop
40.5863,34.4835,Çorum
40.5933,34.4807,Çorum
38.6034,34.9749,Nevşehir
38.3174,33.0478,Konya
37.9922,33.4683,Aksaray
37.6739,33.3155,Konya
37.5902,33.3265,Konya
37.5858,33.3475,Konya
37.5549,33.3147,Konya
37.5509,33.306999999999995,Konya
37.4994,33.3124,Karaman
37.4664,32.9019,Konya
37.4511,32.9145,Konya
37.0054,35.0195,Mersin
37.7219,40.5145,Diyarbakır
37.8568,40.978,Diyarbakır
38.1043,41.3166,Batman
37.3544,33.2192,Karaman
37.5984,34.175,Konya
37.4152,32.9692,Karaman
37.449,32.9022,Konya
37.4583,32.8997,Konya
37.4562,32.8874,Konya
37.6132,33.3964,Konya
37.6243,33.4059,Konya
37.6224,33.394,Konya
37.6969,33.6817,Konya
37.747,33.0228,Konya
37.9941,33.4586,Aksaray
38.1996,33.4666,Aksaray
38.2017,33.2433,Aksaray
39.1631,39.0773,Tunceli
39.2746,31.3301,
39.8183,33.8662,Kırıkkale
40.3144,34.0938,Çorum
40.3241,33.7886,Kırıkkale
40.3223,33.7769,Kırıkkale
40.3383,33.8213,Çankırı
40.3312,33.7746,Çankırı
40.3206,33.7044,Kırıkkale
40.3188,33.6927,Kırıkkale
40.5509,34.383,Çorum
40.5926,34.481,Çorum
41.2069,36.2984,Samsun
41.2608,36.216,Samsun
41.1124,34.4344,Çorum
41.1107,34.4226,Çorum
41.123000000000005,34.4438,Çorum
41.1213,34.4321,Çorum
41.5617,34.6755,Sinop
41.8658,34.6732,Sinop
40.141,43.6546,
37.9727,41.8437,Siirt
40.475,34.1836,Çorum
39.9896,33.4912,Ankara
39.986,33.4976,Ankara
39.876,32.286,Ankara
39.7939,31.8908,Ankara
40.446,27.1385,Çanakkale
39.5798,32.6174,Ankara
39.5598,31.6185,
40.196,25.8789,Çanakkale
40.4925,34.803000000000004,Çorum
40.3466,33.9657,Çankırı
41.1087,34.4202,Çorum
41.4916,26.6407,Edirne
37.6018,27.458000000000002,Aydın
38.7355,26.945,İzmir
38.8174,27.2546,Manisa
40.4441,27.1431,Çanakkale
41.5917,33.0326,Kastamonu
41.3117,32.1275,Zonguldak
41.3833,26.9251,Kırklareli
41.3816,26.9456,Kırklareli
40.4922,34.1996,Çorum
40.4472,34.0719,Çankırı
40.3735,34.0096,Çankırı
39.9471,33.7715,Kırıkkale
40.4457,27.1387,Çanakkale
39.0441,31.665,Konya
37.2049,29.7949,Burdur
40.4424,34.082,Çankırı
40.4384,34.0622,Çankırı
41.1079,34.4744,Çorum
41.1121,34.4853,Çorum
41.1084,34.4674,Çorum
39.0839,27.1472,İzmir
37.1512,37.2876,Gaziantep
38.7352,26.9412,İzmir
38.7332,26.9532,İzmir
39.6096,30.846999999999998,
41.2626,31.4288,Zonguldak
37.7783,27.3152,Aydın
40.4464,27.136999999999997,Çanakkale
40.3279,27.2645,Çanakkale
41.1093,26.5045,Edirne
40.3263,27.2765,Çanakkale
40.2149,26.5327,Çanakkale
39.9816,26.2076,Çanakkale
38.7365,26.9439,İzmir
40.8544,26.5504,Edirne
38.2503,29.8602,Denizli
37.7863,27.5402,Aydın
37.3152,36.1794,Osmaniye
38.6516,39.7657,Elâzığ
40.5102,40.7695,Erzurum
37.1619,37.2952,Gaziantep
39.5172,34.7125,Yozgat
39.5155,34.7239,Yozgat
38.313,37.3128,Kahramanmaraş
38.7052,32.6282,Konya
37.6003,36.7685,Kahramanmaraş
37.8119,33.3638,Konya
37.1645,37.303000000000004,Gaziantep
37.1636,37.3204,Gaziantep
37.1601,37.3026,Gaziantep
36.2845,32.3092,Antalya
39.7082,44.7309,Iğdır
39.7084,44.7264,Iğdır
39.8792,44.5576,
39.8802,44.5531,Iğdır
40.3217,33.6932,Kırıkkale
41.1143,34.5039,Çorum
40.548,34.3793,Çorum
40.2026,33.85,Kırıkkale
40.448,34.056,Çankırı
40.3426,33.8179,Çankırı
40.3354,33.8087,Çankırı
36.8749,35.5651,Adana
40.3551,33.8031,Çankırı
40.3534,33.7914,Çankırı
37.1664,37.3118,Gaziantep
37.1512,37.3921,Gaziantep
36.6088,35.4014,Adana
36.8445,35.1781,Adana
36.9837,35.1899,Adana
38.1248,32.7871,Konya
37.1651,37.3231,Gaziantep
37.1659,37.3032,Gaziantep
37.3435,30.1265,Burdur
37.3419,30.1122,Burdur
38.7388,32.6246,Konya
39.2322,35.2796,Yozgat
37.1636,37.3008,Gaziantep
41.7019,26.4073,Edirne
41.2381,36.4675,Samsun
38.9361,43.6935,Van
37.1609,37.2989,Gaziantep
38.9345,43.6819,Van
39.6137,39.0329,Erzincan
40.6873,36.5959,
40.2676,29.0669,Bursa
